Step 37999 (76.0%) | train: 6.7950 | val: 6.8095 | ppl: 906.4 | tok/s: 620,117 | remaining steps: 12001s
Step 38249 (76.5%) | train: 6.7789 | val: 6.7732 | ppl: 874.1 | tok/s: 622,192 | remaining steps: 11751s
Step 38499 (77.0%) | train: 6.7852 | val: 6.7882 | ppl: 887.3 | tok/s: 622,100 | remaining steps: 11501s
Step 38749 (77.5%) | train: 6.7689 | val: 6.7868 | ppl: 886.1 | tok/s: 623,368 | remaining steps: 11251s
Step 38999 (78.0%) | train: 6.7823 | val: 6.7788 | ppl: 879.0 | tok/s: 622,631 | remaining steps: 11001s
Step 39249 (78.5%) | train: 6.7653 | val: 6.7884 | ppl: 887.5 | tok/s: 622,146 | remaining steps: 10751s
Step 39499 (79.0%) | train: 6.7705 | val: 6.7681 | ppl: 869.7 | tok/s: 621,375 | remaining steps: 10501s
Step 39749 (79.5%) | train: 6.7574 | val: 6.7659 | ppl: 867.7 | tok/s: 622,743 | remaining steps: 10251s
Step 39999 (80.0%) | train: 6.7723 | val: 6.7838 | ppl: 883.5 | tok/s: 623,792 | remaining steps: 10001s
Step 40249 (80.5%) | train: 6.7598 | val: 6.7712 | ppl: 872.4 | tok/s: 622,048 | remaining steps: 9751s
Step 40499 (81.0%) | train: 6.7671 | val: 6.7726 | ppl: 873.6 | tok/s: 617,472 | remaining steps: 9501s
Step 40749 (81.5%) | train: 6.7640 | val: 6.7594 | ppl: 862.1 | tok/s: 623,262 | remaining steps: 9251s
Step 40999 (82.0%) | train: 6.7644 | val: 6.7646 | ppl: 866.6 | tok/s: 621,174 | remaining steps: 9001s
Step 41249 (82.5%) | train: 6.7631 | val: 6.7752 | ppl: 875.8 | tok/s: 623,072 | remaining steps: 8751s
Step 41499 (83.0%) | train: 6.7575 | val: 6.7686 | ppl: 870.1 | tok/s: 622,834 | remaining steps: 8501s
Step 41749 (83.5%) | train: 6.7536 | val: 6.7613 | ppl: 863.8 | tok/s: 622,827 | remaining steps: 8251s
Step 41999 (84.0%) | train: 6.7538 | val: 6.7471 | ppl: 851.6 | tok/s: 622,929 | remaining steps: 8001s
Step 42249 (84.5%) | train: 6.7483 | val: 6.7461 | ppl: 850.7 | tok/s: 622,917 | remaining steps: 7751s
Step 42499 (85.0%) | train: 6.7451 | val: 6.7645 | ppl: 866.5 | tok/s: 622,360 | remaining steps: 7501s
Step 42749 (85.5%) | train: 6.7405 | val: 6.7584 | ppl: 861.2 | tok/s: 623,510 | remaining steps: 7251s
Step 42999 (86.0%) | train: 6.7444 | val: 6.7529 | ppl: 856.5 | tok/s: 623,500 | remaining steps: 7001s
Step 43249 (86.5%) | train: 6.7466 | val: 6.7517 | ppl: 855.5 | tok/s: 623,842 | remaining steps: 6751s
Step 43499 (87.0%) | train: 6.7455 | val: 6.7427 | ppl: 847.9 | tok/s: 623,036 | remaining steps: 6501s
Step 43749 (87.5%) | train: 6.7406 | val: 6.7629 | ppl: 865.2 | tok/s: 623,419 | remaining steps: 6251s
Step 43999 (88.0%) | train: 6.7455 | val: 6.7634 | ppl: 865.6 | tok/s: 623,190 | remaining steps: 6001s
Step 44249 (88.5%) | train: 6.7489 | val: 6.7563 | ppl: 859.5 | tok/s: 623,714 | remaining steps: 5751s
Step 44499 (89.0%) | train: 6.7422 | val: 6.7612 | ppl: 863.7 | tok/s: 622,851 | remaining steps: 5501s
Step 44749 (89.5%) | train: 6.7438 | val: 6.7506 | ppl: 854.5 | tok/s: 623,229 | remaining steps: 5251s
Step 44999 (90.0%) | train: 6.7408 | val: 6.7321 | ppl: 838.9 | tok/s: 623,678 | remaining steps: 5001s
Step 45249 (90.5%) | train: 6.7402 | val: 6.7373 | ppl: 843.3 | tok/s: 624,907 | remaining steps: 4751s
Step 45499 (91.0%) | train: 6.7312 | val: 6.7504 | ppl: 854.4 | tok/s: 622,814 | remaining steps: 4501s
Step 45749 (91.5%) | train: 6.7404 | val: 6.7472 | ppl: 851.6 | tok/s: 624,055 | remaining steps: 4251s
Step 45999 (92.0%) | train: 6.7420 | val: 6.7436 | ppl: 848.6 | tok/s: 621,252 | remaining steps: 4001s
Step 46249 (92.5%) | train: 6.7291 | val: 6.7471 | ppl: 851.6 | tok/s: 622,187 | remaining steps: 3751s
