optimizer      step     rankme         pr    alpha_req             lr
SGD            6000     3.3588     2.6963     1.463232   3.000000e-04
SGD            6400     3.2735     2.6140     0.845119   3.000000e-04
SGD            6800     3.7786     2.6828     0.803228   3.000000e-04
SGD            7200     3.7817     2.6567     0.822935   3.000000e-04
SGD            7600     3.2563     2.5816     0.947601   3.000000e-04
SGD            8000     3.5102     2.6985     0.814495   3.000000e-04
SGD            8400   248.7852   128.5046     0.624124   3.000000e-04
SGD            8800   241.6821   119.6411     0.622476   3.000000e-04
SGD            9200   245.4709   126.5400     0.621320   3.000000e-04
SGD            9600   240.7619   126.4679     0.647864   3.000000e-04
SGD           10000    22.1197     3.9171     0.686126   3.000000e-04
SGD           10400   239.2838   119.5364     0.630648   3.000000e-04
SGD           10800   259.7937   137.9576     0.597341   3.000000e-04
SGD           11200   236.5674   110.6382     0.633682   3.000000e-04
SGD           11600   191.4793    58.7981     0.627339   3.000000e-04
SGD           12000   119.5248    30.9015     0.698509   3.000000e-04
SGD           12400    42.3168    11.2572     0.855139   3.000000e-04
SGD           12800    13.1686     4.4765     1.096543   3.000000e-04
SGD           13200     6.9680     3.4929     1.070720   3.000000e-04
SGD           13600     5.7293     3.1752     1.031808   3.000000e-04
SGD           14000     5.5116     3.2590     0.989755   3.000000e-04
SGD           14400     7.4022     3.4355     0.962951   3.000000e-04
SGD           14800   252.1434   118.0348     0.597067   3.000000e-04
SGD           15200     4.6978     2.8183     1.107465   3.000000e-04
SGD           15600     4.2796     2.6278     0.973911   3.000000e-04
SGD           16000     3.6973     2.4742     0.941721   3.000000e-04
SGD           16400     3.3960     2.3575     0.906989   3.000000e-04
SGD           16800   178.6367    47.2894     0.640837   3.000000e-04
SGD           17200     3.3984     2.3718     0.820370   3.000000e-04
SGD           17600     3.8648     2.5303     0.802705   3.000000e-04
SGD           18000   202.7228    60.5842     0.632212   3.000000e-04
SGD           18400     3.1290     2.3837     0.823077   3.000000e-04
SGD           18800     3.7297     2.6194     0.755952   3.000000e-04
SGD           19200     3.4649     2.6506     0.820921   3.000000e-04
SGD           19600     3.0670     2.3402     0.860356   3.000000e-04
SGD           20000     3.1472     2.3738     0.865210   3.000000e-04
SGD           20400   218.8766    68.9030     0.606096   3.000000e-04
SGD           20800   175.7791    40.9879     0.601978   3.000000e-04
SGD           21200   149.0466    31.3126     0.622627   3.000000e-04
SGD           21600   130.8733    24.9072     0.628211   3.000000e-04
SGD           22000   108.2238    19.3489     0.658479   3.000000e-04
SGD           22400    91.8211    16.0592     0.672510   3.000000e-04
SGD           22800    77.3475    13.5603     0.694083   3.000000e-04
SGD           23200    63.8417    11.8989     0.736922   3.000000e-04
SGD           23600    42.3826     8.0186     0.872172   3.000000e-04
SGD           24000    36.2546     7.3826     0.911130   3.000000e-04
SGD           24400    28.8623     6.5089     0.958435   3.000000e-04
SGD           24800    21.4436     5.6690     1.150893   3.000000e-04
SGD           25200    19.6711     5.2256     1.107484   2.978508e-04
